,0_n,0_s,0_p,1_n,1_s,1_p,2_n,2_s,2_p,3_n,3_s,3_p,4_n,4_s,4_p,5_n,5_s,5_p,6_n,6_s,6_p,7_n,7_s,7_p,8_n,8_s,8_p,9_n,9_s,9_p,10_n,10_s,10_p,11_n,11_s,11_p,12_n,12_s,12_p,13_n,13_s,13_p
46,HLA-DMA,14.364265,7.07649612385234e-46,CD183|CXCR3|AHS0031|pAbO,4.053379,0.0001233359997408208,IER3,13.818087,1.6852856940756243e-42,TBX21,4.4657235,2.9069510850678063e-05,CHI3L2,1.4696637,0.2568638127155408,NCR3,6.6806173,1.2288421558784002e-10,CXCR4,3.9765055,0.0002338822131579021,PTGDR2,5.4304876,2.6976163495590786e-07,CD36,8.123852,3.7604050343624245e-15,LAT2,3.9429312,0.00039095990509094194,BACH2,1.5833555,0.2171028119592369,BIRC3,1.3751425,0.3079804173437596,IRF4,0.9631146,0.6983669549545987,PDIA4,1.8886887,0.24186703857846484
47,SELL,14.329852,1.1393828460463675e-45,CD127|IL7R|AHS0028|pAbO,3.9551413,0.00018250118326077608,FOSB,13.793621,2.31832203025423e-42,CD52,4.177521,0.0001027682714297153,CD8A,1.4370383,0.2720730002486004,CD137|TNFRSF9|AHS0003|pAbO,6.5130787,3.754923260364042e-10,LAG3,3.693379,0.0007053744638972352,LAP3,5.3855433,3.4265384590609755e-07,IL23R,8.067985,5.831775857084165e-15,SLC7A7,3.888801,0.00047243903659922203,FAM129C,1.4786291,0.2545175537872723,HLA-DMA,1.3068204,0.34530828455510365,CD38,0.8867176,0.7578922191896917,FAM129C,1.8039727,0.27886947133893414
48,ITGAX,14.273896,2.497346332041496e-45,PASK,3.711219,0.00047815647336557605,LILRB4,13.736268,4.9254605665173976e-42,IFNG,4.147702,0.00011611703825866605,FOXP1,1.3096228,0.3318460963415461,CD127|IL7R|AHS0028|pAbO,6.449473,5.584623665355385e-10,ZAP70,3.6268015,0.0008972124355717256,CD48,5.3661733,3.771642566970273e-07,LILRB4,7.7976103,5.047245278374333e-14,ICAM1,3.5397682,0.001756938149230379,BLK,1.4767781,0.2545175537872723,IRF8,1.2448992,0.37488313515651145,CD24,0.86086375,0.782461770954088,PDIA6,1.7971882,0.27886947133893414
49,CCR2,13.886356,5.790263843907935e-43,TRIB2,3.6750119,0.0005482377873640309,YBX3,13.518253,9.575408166302079e-41,CD161:HP-3G10|KLRB1|AHS0205|pAbO,4.144357,0.00011683480817732168,TRIB2,1.2528956,0.36041778019594667,TRBC2,6.397531,7.669878506728245e-10,KLRB1,3.5365636,0.001243537120950488,CD52,5.2441573,7.197214112694935e-07,JUNB,7.668342,1.3670634377504411e-13,TLR2,3.532935,0.0017802911683066566,IL6,1.4310715,0.273934644857688,CHI3L2,1.1917517,0.40515024214514667,CD40,0.8387366,0.8032342999301267,ITGAE,1.7638152,0.2937717149893388
50,HLA-DR|CD74|AHS0035|pAbO,13.776395,2.622240034017695e-42,TRAT1,3.5626955,0.0008366650892582808,LAT2,13.467017,1.882558987752547e-40,KLRG1,3.945373,0.0002621592300484199,ARL4C,1.1732914,0.40244676122063355,IgM|IGHM|AHS0198|pAbO,6.1329885,4.12891133672976e-09,CD183|CXCR3|AHS0031|pAbO,3.4691374,0.0015663968405269064,PTPRC,5.1333194,1.2624778393110908e-06,IER3,7.616187,2.0113555418416845e-13,JUNB,3.5306573,0.0017802911683066566,MYC,1.4167615,0.280146869782779,BTLA,1.1675154,0.41636961321852906,FCER2,0.81847274,0.8064096657485246,FCER1G,1.7163229,0.3136607729235078
51,IFNGR1,13.727777,5.043585852052346e-42,BCL11B,3.4399567,0.001304271599532528,NAMPT,13.428432,3.113189917029968e-40,APOBEC3G,3.9332352,0.00027138529458038056,RORA,0.9000901,0.5753774186214857,CD8:SK1|CD8A|AHS0228|pAbO,6.1315427,4.12891133672976e-09,B3GAT1,3.442931,0.0017137383223002746,KCNE3,5.0175653,2.2957857986164495e-06,BIN2,7.5266595,3.9330397202432566e-13,CD14:MPHIP9|CD14|AHS0037|pAbO,3.524561,0.0018027877322076523,BTG1,1.2637656,0.35819657043232134,FOSB,1.1637757,0.41636961321852906,CD127|IL7R|AHS0028|pAbO,0.80973834,0.8122902850241489,RGS1,1.637108,0.35132224368336185
52,TLR8,13.692533,7.915087801914915e-42,CXCL13,3.428445,0.0013534219569667463,TNFSF10,13.289513,1.9755092287301633e-39,KLRB1,3.8150585,0.00043398037121790894,CCND2,0.7968251,0.6430572515571263,APOBEC3G,6.062952,6.267517507479558e-09,CD69,3.0268083,0.006954306504370973,BIN2,4.919368,3.7685434320720363e-06,TLR8,7.316055,1.8605316906885156e-12,STAT5A,3.3685346,0.0030832125012653132,CD200,1.0565196,0.47829917116589166,TNFRSF17,0.99620694,0.514676038368371,TLR9,0.76094204,0.85482282525537,CD36,1.3979963,0.4973126176270995
53,CD86,13.01704,6.769499972037826e-38,PDCD1,2.9086325,0.007634508439721666,CCR1,13.151892,1.2092071205376586e-38,BCL11B,3.648617,0.0008211568964403812,CD28,0.7418615,0.6797594924720809,KLRC3,6.0332923,7.448424303357885e-09,CX3CR1,2.7368383,0.016120622155843103,CD74,4.693302,1.1307491081595348e-05,TLR2,7.1828194,4.8880045109641146e-12,PIK3AP1,3.3142033,0.0037125840245674393,NCR3,0.9712292,0.5366076965209623,TCF4,0.99620694,0.514676038368371,BIRC3,0.71016604,0.8841555831363671,CXCR4,1.3926787,0.49848154035053294
54,JUNB,12.589124,1.6479706780440502e-35,BTLA,2.7941773,0.010831141770397549,BCL2A1,13.10275,2.2729123193205948e-38,GZMB,3.6249626,0.0008932828657537126,IL2RA,0.5893645,0.8002609617199811,CX3CR1,5.9471555,1.250784063079213e-08,TRDC,2.364694,0.04489237020380238,CD37,4.690142,1.1366361689476305e-05,CD86,7.076333,1.041234534945838e-11,VPS28,3.2946415,0.003941893966314572,FOXO1,0.918688,0.5754708304958871,IGHG1_membrane,0.99030966,0.517264930059359,IGHM_membrane,0.7067887,0.8841555831363671,DPP4,1.2206796,0.6295874404576708
55,LAP3,12.300195,5.851596780089588e-34,LTA,2.659732,0.016114516755174092,IL23R,12.667138,6.326516221140523e-36,ARL4C,3.5804253,0.0010523191183981636,NT5E,0.5852006,0.8002609617199811,CD183|CXCR3|AHS0031|pAbO,5.8275204,2.4948766240368603e-08,CXCR6|CXCR6|AHS0148|pAbO,2.2756765,0.055847376940455634,HLA-DQB1,4.5037537,2.6969864486549066e-05,HLA-DPA1,7.0542555,1.1999866433662084e-11,FCER1A,3.2471435,0.0046175146760401835,NT5E,0.89975035,0.5892049878415129,HLA-DPA1,0.9794501,0.523772229950338,CCR9,0.5775194,0.9693903699280665,LAMP1,1.2206796,0.6295874404576708
56,BIN2,12.041847,1.364926078075642e-32,CD200,2.579423,0.0200885234532682,HLA-DQB1,12.306601,5.675659815146572e-34,ZNF683,3.515674,0.001315916672332642,KLRC4,0.5295512,0.8305141329854276,ITGAM,5.744374,4.047609989084944e-08,RORA,2.2735014,0.055847376940455634,JUNB,4.4564686,3.300471371328096e-05,CCL3,6.9742627,2.09085638338658e-11,TLR8,3.2441287,0.004621795092736287,IGHG2_secreted,0.8458565,0.6239776577822553,BLK,0.9529124,0.5407737941182102,LTB,0.56389374,0.9738050024432693,BAX,1.2157288,0.6305380473186464
57,TLR2,11.726495,5.7639385325245375e-31,ZAP70,2.5078642,0.024338157278696718,CD300A,12.033369,1.5662013801671261e-32,CCR5,3.1092474,0.005241528423660723,TGFB3,0.50466573,0.8403617660221004,BIN2,5.721344,4.5871588785882935e-08,CCR7|CCR7|AHS0273|pAbO,2.1625743,0.07109397248420458,CASP5,4.268383,7.438249447232509e-05,VNN2,6.9656234,2.1868281940457454e-11,VSIG4,3.1729155,0.005808861371755696,EBF1,0.8262069,0.6364281900276625,FAM129C,0.9483096,0.5423740953105913,FOSB,0.5593518,0.9750042707357081,SELPLG,1.1990422,0.6441691662780846
58,SELPLG,11.597158,2.5188866715775635e-30,CD28,2.2936156,0.04237875017282601,PIK3AP1,12.033117,1.5662013801671261e-32,TRDC,3.0272455,0.006712783310696505,RORC,0.47223622,0.8600078825968862,ZAP70,5.705094,4.99387913829234e-08,IL7R,2.1613543,0.07109397248420458,TNFSF13B,4.244507,8.200228341364126e-05,CD48,6.9006057,3.407543448918158e-11,CD36,3.1064584,0.007152953705942358,CHI3L2,0.8117545,0.646800236036892,CD200,0.8991897,0.573927734521846,EBF1,0.5444451,0.9881949333017824,BTLA,1.1403645,0.6866679333881208
59,IL23R,11.472666,1.0400897849884984e-29,BIRC3,2.209884,0.050744003303389705,CD86,11.890344,8.604221673925264e-32,STAT4,2.9883947,0.007478588590640271,SELL,0.4246207,0.8890070969651487,CD244,5.5615816,1.1361973981873174e-07,FYN,2.1198163,0.07798197000073402,CD33,4.233856,8.520450944415467e-05,IFNGR1,6.864257,4.3285689454898135e-11,IL1B,3.083279,0.007663405613583148,FOXP1,0.75771827,0.6855311957455252,IL6,0.72917575,0.7040178596545766,CXCR5,0.51765954,0.9967477841110466,CCR5,1.1079085,0.7144036237321906
60,MGST1,11.368236,3.3641735554020164e-29,CHI3L2,2.07225,0.07028285468776965,CXCL8,11.752219,4.385237899760888e-31,CXCR4,2.9421372,0.008635705250112462,IL4R,0.40316433,0.8981588331380225,ADA,4.903539,3.5890688378654195e-06,STAT4,2.092867,0.08287878087450233,CD40,4.1391697,0.00012812130489459455,JUN,6.844675,4.886422679821038e-11,IL18,2.9839954,0.010272606117618826,TRIB2,0.70240045,0.7261777460921172,NT5E,0.7251483,0.7051339584233929,NCR3,0.48062563,0.9967477841110466,SNCA,1.0591326,0.738926941831062
61,CD48,11.255708,1.1968591776236227e-28,POU2AF1,2.0224698,0.07820513930434765,LY86,11.614096,2.1935762823636573e-30,IL7R,2.8596094,0.01095307385010563,LTA,0.39277905,0.8988706341435049,IgD|IGHD|AHS0058|pAbO,4.833852,4.999530058605316e-06,CD134:ACT35|TNFRSF4|AHS0013|pAbO,2.0871375,0.0835849222370353,BAX,4.1185703,0.00013887677942732527,PIK3AP1,6.5886345,2.7440441065621546e-10,BAX,2.979909,0.010319323304213741,IRF4,0.6752755,0.7437821050034901,EBF1,0.6534462,0.7563004399864987,NT5E,0.47922814,0.9967477841110466,IKZF1,0.99275345,0.7885463261891769
62,PIK3AP1,11.141589,4.281410118259392e-28,CCND2,2.0148861,0.07928302238208856,SELPLG,11.159506,3.86089661338207e-28,ICOS,2.600796,0.022587588747227775,CCR4,0.35961473,0.9226641070131626,FASLG,4.832556,4.999530058605316e-06,IFNG,1.7682554,0.1635291212351882,ITGB2,3.918956,0.0003127999025808612,RPN2,6.551198,3.4757493708612043e-10,CD163,2.9618208,0.01085016039220076,CD137|TNFRSF9|AHS0003|pAbO,0.6653796,0.7460830533707308,IGHG3_secreted,0.6394941,0.7668368118884463,CR2,0.43345982,0.9967477841110466,ICAM1,0.93957675,0.8338432680997322
63,CD300A,10.832092,1.30210217410568e-26,STAT4,1.8363391,0.11660976057156168,RNASE6,11.154059,4.045249641278795e-28,CBLB,2.493658,0.029991383014812096,IKZF1,0.35202172,0.9270450230981665,TARP_refseq,4.810224,5.541493708406339e-06,BCL11B,1.7574862,0.16579725230995218,PSEN1,3.6762123,0.0008116204011105778,LAP3,6.4508557,6.576516777139482e-10,TIAF1,2.895565,0.013311937270602951,IGHG1_secreted,0.6544869,0.7498984202160776,CD62L:DREG-56|SELL|AHS0049|pAbO,0.6322304,0.7682586728861638,TCF4,0.4176214,0.9967477841110466,CD79A,0.9223402,0.8452980842923887
64,CCR1,10.805054,1.7261335948706495e-26,IL2RA,1.6141568,0.18333043428736503,CXCL16,10.776135,2.5643174856322812e-26,EOMES,2.4798,0.030824193031973313,FOXP3,0.29019994,0.9598738446410994,SELPLG,4.6022587,1.482757060712006e-05,FASLG,1.6056046,0.21672158515619677,DOCK8,3.5876703,0.0011230812936928243,CCR2,6.431465,7.366126824946894e-10,CD14,2.8819654,0.01378144048746153,TLR9,0.51829267,0.8357141378779414,BCL2,0.5997954,0.7873358347748446,CD72,0.39339796,0.9967477841110466,STAT1,0.8808991,0.8923465937531183
65,CD4:SK3|CD4|AHS0032|pAbO,10.637184,1.0333508420097858e-25,CST7,1.5789608,0.19602009171695178,TLR8,10.588033,1.9189324556207006e-25,CTLA4,2.4478307,0.033316728000478274,CCR10,0.2563988,0.9714576449770291,IL23R,4.548971,1.8798981116557922e-05,PRDM1,1.3285787,0.3475309828064158,GAB2,3.5809991,0.001135377491846264,HLA-DMA,6.40446,8.671590726565294e-10,CX3CR1,2.8453205,0.015340377334148263,TCF4,0.4461019,0.8993267876226239,TRIB2,0.5524734,0.8189583275374356,KIAA0101,0.391884,0.9967477841110466,STAT3,0.81048584,0.93652088655359
66,FTH1,10.472965,5.86418135023982e-25,IL21,1.1814983,0.3813432283666011,CCL3,10.108013,2.8067208179051965e-23,LAIR2,2.363726,0.04170404639804396,LAMP3,0.15416259,0.99542695152888,LAT,4.544435,1.9045583330514336e-05,CD16:3G8|FCGR3A|AHS0053|pAbO,1.3177035,0.35272805537456453,ATF6B,3.5533187,0.0012516493970252491,CCR1,6.398124,8.913502351730619e-10,ENTPD1,2.829912,0.015963705923712566,IGHA1_secreted,0.39982575,0.9281459401164369,TNF,0.4448123,0.9048439349274576,TYMS,0.38210145,0.9967477841110466,CXCL5,0.67461026,0.9979517131765093
67,QPCT,10.391597,1.3473053023808453e-24,CBLB,1.14638,0.4026207451906741,IFNGR1,9.950073,1.3181399994100808e-22,CXCR6,2.246935,0.055551538751672576,IL12A,0.12334967,0.99542695152888,ITGB2,4.432327,3.196165646019339e-05,NCR3,1.1964318,0.42743653860368197,IRF8,3.2546291,0.0035094354689685077,MGST1,6.2595134,2.158380120230434e-09,CD40,2.792731,0.017623287094070596,JUN,0.31012127,0.9761348126389273,CD80,0.33671966,0.9621168827648372,PTTG2,0.31758326,0.9967477841110466,CD72,0.6223504,0.9979517131765093
68,LIPA,9.954462,1.1711665539429926e-22,PMCH,1.0853217,0.4392787760851423,FYB,9.8427,3.806592692549861e-22,ITGAE,2.211716,0.06049674128238218,CCL17,0.113552235,0.99542695152888,STAT4,4.131943,0.00012029609612616752,TIGIT,1.1760075,0.43445989394644363,CXCL5,3.2330348,0.0037573606966993392,VPS28,6.0227995,9.388480561383795e-09,GAPDH,2.69941,0.022855421860889836,EGR3,0.25508827,0.9934488091980223,MYC,0.28148672,0.9842978754225247,EGR1,0.31676805,0.9967477841110466,GAB2,0.5233318,0.9979517131765093
69,RNASE2,9.658811,2.1153696124417277e-21,ZBED2,1.0818993,0.4399741159708908,PTPRC,9.765364,8.085659519661727e-22,PRDM1,2.1997693,0.06203219539023649,MCM4,0.094104335,0.99542695152888,CD160,4.129102,0.00012080204105948056,GIMAP5,1.1226926,0.461990410536711,CTSD,3.2109725,0.004027829061344822,SELPLG,6.0217113,9.388480561383795e-09,CXCL5,2.669665,0.024585864746527925,CD1A,0.24497871,0.9940814157135447,IL2RA,0.27997643,0.9842978754225247,IGHE_secreted,0.29068127,0.9967477841110466,CNOT2,0.48409107,0.9979517131765093
70,GIMAP2,9.494808,1.022860917689101e-20,GZMK,1.0635817,0.44773828078278466,QPCT,9.560419,5.907481040946989e-21,CD19:SJ25C1|CD19|AHS0030|pAbO,2.170906,0.06638485852389946,IL22,0.09278168,0.99542695152888,CD196|CCR6|AHS0034|pAbO,4.1217246,0.00012373144090342434,BCL2,1.1172284,0.4640941576739176,CD244,3.17943,0.004426950947251719,GIMAP2,5.722091,5.575330924571843e-08,CD9,2.3779783,0.05471333635720735,MCM2,0.16531257,0.9945467979313188,CD38,0.24351406,0.9924811319933214,IGHG4_secreted,0.28648874,0.9967477841110466,TNFSF8,0.47162208,0.9979517131765093
71,JUN,9.24857,1.0200709820294743e-19,FAS,1.0214243,0.4692052952167474,TLR2,9.5384245,7.215540219492998e-21,DUSP4,2.157669,0.06826515249025833,IFNA1,0.0926837,0.99542695152888,TSPAN32,4.06101,0.0001572724123636858,KLRC4,0.9071513,0.6117092099025514,IFNGR1,3.1671405,0.004584665244255751,CD300A,5.705517,6.067198321001424e-08,CD48,2.3774424,0.05471333635720735,CCR9,0.15954585,0.9945467979313188,CD1C,0.23229486,0.9946061148814781,TNF,0.27216431,0.9967477841110466,IFNA1,0.4560358,0.9979517131765093
72,DOCK8,9.231508,1.183409453595892e-19,PTTG2,0.9497099,0.5131945810034937,CCR2,9.425228,2.08455619394233e-20,TCF7,1.9615521,0.10810837436920517,TNFRSF9,0.07201113,0.99542695152888,CD69,3.9815025,0.00021492502929710717,CBLB,0.8910241,0.6235648299439621,LILRB4,3.1344275,0.005090828329404424,FTH1,5.5896235,1.1322609102035117e-07,SELPLG,2.322843,0.061928823370636814,LRRC32,0.12501675,0.9945467979313188,IRF4,0.17389752,0.9946061148814781,LAMP3,0.25877154,0.9967477841110466,IL1RL1,0.42119592,0.9979517131765093
73,IRF8,8.929314,1.8409824384001115e-18,DPP4,0.94749314,0.5131945810034937,HLA-DR|CD74|AHS0035|pAbO,9.077006,5.174279225890961e-19,CCND2,1.9256643,0.11621765686764232,MME,0.05124057,0.99542695152888,ZNF683,3.7828088,0.00047214921204777484,IL12RB1,0.8659846,0.6401101026837428,STAT5A,3.1223137,0.005266886843264966,BCL2A1,5.0849667,1.7243424304611604e-06,NAMPT,2.2699857,0.06911712833267683,IGHG3_secreted,0.091341965,0.9945467979313188,TLR9,0.16598655,0.9946061148814781,CCR10,0.24922192,0.9967477841110466,VMO1,0.35371655,0.9979517131765093
74,VPS28,8.717886,1.2046407900887354e-17,CD19:SJ25C1|CD19|AHS0030|pAbO,0.88713485,0.5584035578160458,CD48,8.943952,1.7213796359456472e-18,KIAA0101,1.9205989,0.11621765686764232,CCR8,0.040855292,0.99542695152888,IL18R1,3.6910386,0.0006700205639712385,CD137|TNFRSF9|AHS0003|pAbO,0.8260382,0.6671329568238805,S100A10,2.9890037,0.008156761022279581,RNASE2,5.0777354,1.7709067166140964e-06,IRF8,2.250692,0.07215410154134855,TNFRSF17,0.08386659,0.9945467979313188,NCR3,0.148079,0.9946061148814781,PRDM1,0.22825933,0.9967477841110466,CBLB,0.3381303,0.9979517131765093
75,IER3,8.434162,1.3887956279460253e-16,AURKB,0.8809512,0.5613252462089543,BIN2,8.917391,2.1642226771909446e-18,NCR3,1.9190698,0.11621765686764232,LIF,0.04036542,0.99542695152888,CD2,3.6163166,0.0008899308576676081,GZMK,0.67930245,0.7828342314821781,FYB,2.9681702,0.0086686514339233,YBX3,4.9599223,3.19696939891564e-06,VEGFA,2.125013,0.0971836019572145,C1QB,0.07667599,0.9945467979313188,MME,0.13498993,0.9946061148814781,IL1RL1,0.22360097,0.9967477841110466,CXCL3,0.33207914,0.9979517131765093
76,FYB,8.290295,4.609109743340974e-16,IFNG,0.84447175,0.5826149700118148,VPS28,8.822627,5.012802402252052e-18,ADA,1.8801235,0.12508790514865128,IKZF2,0.03311532,0.99542695152888,CCND2,3.4849675,0.001424229738118489,CD7,0.6508147,0.8053171130127565,FAM65B,2.92545,0.00988274692170751,IGBP1,4.83091,6.09355742249044e-06,KCNE3,2.1029725,0.10190853566707173,BCL2,0.061013296,0.9945467979313188,CD70,0.11636318,0.9946061148814781,CD69,0.21638052,0.9967477841110466,MCM2,0.32236063,0.9979517131765093
77,CCL3,8.282921,4.855230598629563e-16,GIMAP5,0.8408161,0.5835142975612794,KCNE3,8.757901,8.821643817269433e-18,GIMAP5,1.8450958,0.1339880382401336,KIT,0.030274065,0.99542695152888,FCER1G,3.2836814,0.0029233526503340632,KLRF1,0.5603118,0.8787006961556731,VMO1,2.909825,0.010246214897315403,AQP9,4.7310157,9.907275491337705e-06,TLR7,2.0647867,0.11033904251821094,FN1,0.04962225,0.9945467979313188,CCR10,0.10708577,0.9946061148814781,IGHM_secreted,0.21568178,0.9967477841110466,CXCR2,0.3003565,0.9979517131765093
78,F13A1,7.993016,5.165797873155412e-15,KIAA0101,0.8064367,0.6076466733620066,IFITM2,8.68266,1.6961354190307258e-17,TRAT1,1.745317,0.16237553163301435,KLRG1,0.028314577,0.99542695152888,CCL3,3.2752073,0.0029915592340897467,TNFRSF25,0.53071004,0.8918611449096359,PDIA6,2.8058922,0.014022195091073279,PTPRC,4.7138014,1.0666694131863173e-05,BCL6,2.052393,0.11292170091268067,CXCL1,0.037804037,0.9945467979313188,EGR3,0.08932205,0.9946061148814781,EGR3,0.21509948,0.9967477841110466,PTTG2,0.28880432,0.9979517131765093
79,VNN2,7.8116627,2.1520427882843457e-14,CXCR4,0.80184764,0.6080439374728936,AQP9,7.8452444,1.8364704653164235e-14,PTTG2,1.7152113,0.17011135605966604,BTLA,0.008768702,0.99542695152888,GZMK,3.2517788,0.003218417272060194,CMKLR1,0.49994114,0.9056961878399531,RUNX3,2.78541,0.014837897620576251,DOCK8,4.608851,1.7208267605074576e-05,IGBP1,2.0102544,0.12245083040188338,CHI3L1,-0.0068346285,0.9945467979313188,CTSG,-0.006760284,0.9946061148814781,PCNA,0.21172218,0.9967477841110466,STAT6,0.23709461,0.9979517131765093
80,GAB2,7.5349884,1.8114403919274215e-13,FOXO1,0.7999809,0.6080439374728936,Tim3|HAVCR2|AHS0016|pAbO,7.682529,6.560735524005581e-14,FASLG,1.7005408,0.17418477443794986,CBLB,0.005731498,0.99542695152888,CBLB,3.1359322,0.0046908705630972995,CCND2,0.43983573,0.947642173883257,STAT6,2.7761638,0.015163401342435035,HLA-DR|CD74|AHS0035|pAbO,4.5933003,1.835117827751365e-05,IER3,2.0072398,0.12246609190571163,CCL17,-0.0068346285,0.9945467979313188,TPSAB1,-0.006760284,0.9946061148814781,HMMR,0.21102342,0.9967477841110466,ITGA4,0.22884305,0.9979517131765093
